#   x       y(x)        y(x)^2      classical p(x)      V
-10.000             NaN             NaN  0.00000000E+00   50.000000
 -9.900             NaN             NaN  0.00000000E+00   49.005000
 -9.800             NaN             NaN  0.00000000E+00   48.020000
 -9.700             NaN             NaN  0.00000000E+00   47.045000
 -9.600             NaN             NaN  0.00000000E+00   46.080000
 -9.500             NaN             NaN  0.00000000E+00   45.125000
 -9.400             NaN             NaN  0.00000000E+00   44.180000
 -9.300             NaN             NaN  0.00000000E+00   43.245000
 -9.200             NaN             NaN  0.00000000E+00   42.320000
 -9.100             NaN             NaN  0.00000000E+00   41.405000
 -9.000             NaN             NaN  0.00000000E+00   40.500000
 -8.900             NaN             NaN  0.00000000E+00   39.605000
 -8.800             NaN             NaN  0.00000000E+00   38.720000
 -8.700             NaN             NaN  0.00000000E+00   37.845000
 -8.600             NaN             NaN  0.00000000E+00   36.980000
 -8.500             NaN             NaN  0.00000000E+00   36.125000
 -8.400             NaN             NaN  0.00000000E+00   35.280000
 -8.300             NaN             NaN  0.00000000E+00   34.445000
 -8.200             NaN             NaN  0.00000000E+00   33.620000
 -8.100             NaN             NaN  0.00000000E+00   32.805000
 -8.000             NaN             NaN  0.00000000E+00   32.000000
 -7.900             NaN             NaN  0.00000000E+00   31.205000
 -7.800             NaN             NaN  0.00000000E+00   30.420000
 -7.700             NaN             NaN  0.00000000E+00   29.645000
 -7.600             NaN             NaN  0.00000000E+00   28.880000
 -7.500             NaN             NaN  0.00000000E+00   28.125000
 -7.400             NaN             NaN  0.00000000E+00   27.380000
 -7.300             NaN             NaN  0.00000000E+00   26.645000
 -7.200             NaN             NaN  0.00000000E+00   25.920000
 -7.100             NaN             NaN  0.00000000E+00   25.205000
 -7.000             NaN             NaN  0.00000000E+00   24.500000
 -6.900             NaN             NaN  0.00000000E+00   23.805000
 -6.800             NaN             NaN  0.00000000E+00   23.120000
 -6.700             NaN             NaN  0.00000000E+00   22.445000
 -6.600             NaN             NaN  0.00000000E+00   21.780000
 -6.500             NaN             NaN  0.00000000E+00   21.125000
 -6.400             NaN             NaN  0.00000000E+00   20.480000
 -6.300             NaN             NaN  0.00000000E+00   19.845000
 -6.200             NaN             NaN  0.00000000E+00   19.220000
 -6.100             NaN             NaN  0.00000000E+00   18.605000
 -6.000             NaN             NaN  0.00000000E+00   18.000000
 -5.900             NaN             NaN  0.00000000E+00   17.405000
 -5.800             NaN             NaN  0.00000000E+00   16.820000
 -5.700             NaN             NaN  0.00000000E+00   16.245000
 -5.600             NaN             NaN  0.00000000E+00   15.680000
 -5.500             NaN             NaN  0.00000000E+00   15.125000
 -5.400             NaN             NaN  0.00000000E+00   14.580000
 -5.300             NaN             NaN  0.00000000E+00   14.045000
 -5.200             NaN             NaN  0.00000000E+00   13.520000
 -5.100             NaN             NaN  0.00000000E+00   13.005000
 -5.000             NaN             NaN  0.00000000E+00   12.500000
 -4.900             NaN             NaN  0.00000000E+00   12.005000
 -4.800             NaN             NaN  0.00000000E+00   11.520000
 -4.700             NaN             NaN  0.00000000E+00   11.045000
 -4.600             NaN             NaN  0.00000000E+00   10.580000
 -4.500             NaN             NaN  0.00000000E+00   10.125000
 -4.400             NaN             NaN  0.00000000E+00    9.680000
 -4.300             NaN             NaN  0.00000000E+00    9.245000
 -4.200             NaN             NaN  0.00000000E+00    8.820000
 -4.100             NaN             NaN  0.00000000E+00    8.405000
 -4.000             NaN             NaN  0.00000000E+00    8.000000
 -3.900             NaN             NaN  0.00000000E+00    7.605000
 -3.800             NaN             NaN  0.00000000E+00    7.220000
 -3.700             NaN             NaN  0.00000000E+00    6.845000
 -3.600             NaN             NaN  0.00000000E+00    6.480000
 -3.500             NaN             NaN  0.00000000E+00    6.125000
 -3.400             NaN             NaN  0.00000000E+00    5.780000
 -3.300             NaN             NaN  0.00000000E+00    5.445000
 -3.200             NaN             NaN  0.00000000E+00    5.120000
 -3.100             NaN             NaN  0.00000000E+00    4.805000
 -3.000             NaN             NaN  0.00000000E+00    4.500000
 -2.900             NaN             NaN  0.00000000E+00    4.205000
 -2.800             NaN             NaN  0.00000000E+00    3.920000
 -2.700             NaN             NaN  0.00000000E+00    3.645000
 -2.600             NaN             NaN  0.00000000E+00    3.380000
 -2.500             NaN             NaN  0.00000000E+00    3.125000
 -2.400             NaN             NaN  0.00000000E+00    2.880000
 -2.300             NaN             NaN  0.00000000E+00    2.645000
 -2.200             NaN             NaN  0.00000000E+00    2.420000
 -2.100             NaN             NaN  0.00000000E+00    2.205000
 -2.000             NaN             NaN  0.00000000E+00    2.000000
 -1.900             NaN             NaN  0.00000000E+00    1.805000
 -1.800             NaN             NaN  0.00000000E+00    1.620000
 -1.700             NaN             NaN  0.00000000E+00    1.445000
 -1.600             NaN             NaN  0.00000000E+00    1.280000
 -1.500             NaN             NaN  0.00000000E+00    1.125000
 -1.400             NaN             NaN  0.00000000E+00    0.980000
 -1.300             NaN             NaN  0.00000000E+00    0.845000
 -1.200             NaN             NaN  0.00000000E+00    0.720000
 -1.100             NaN             NaN  0.00000000E+00    0.605000
 -1.000             NaN             NaN  0.00000000E+00    0.500000
 -0.900             NaN             NaN  0.00000000E+00    0.405000
 -0.800             NaN             NaN  0.00000000E+00    0.320000
 -0.700             NaN             NaN  0.00000000E+00    0.245000
 -0.600             NaN             NaN  0.00000000E+00    0.180000
 -0.500             NaN             NaN  0.00000000E+00    0.125000
 -0.400             NaN             NaN  0.00000000E+00    0.080000
 -0.300             NaN             NaN  0.00000000E+00    0.045000
 -0.200        Infinity        Infinity  0.00000000E+00    0.020000
  0.000  0.10000000E+01  0.10000000E+01  0.10000000E+02    0.000000
  0.100        Infinity        Infinity  0.00000000E+00    0.005000
  0.200        Infinity        Infinity  0.00000000E+00    0.020000
  0.300             NaN             NaN  0.00000000E+00    0.045000
  0.400             NaN             NaN  0.00000000E+00    0.080000
  0.500             NaN             NaN  0.00000000E+00    0.125000
  0.600             NaN             NaN  0.00000000E+00    0.180000
  0.700             NaN             NaN  0.00000000E+00    0.245000
  0.800             NaN             NaN  0.00000000E+00    0.320000
  0.900             NaN             NaN  0.00000000E+00    0.405000
  1.000             NaN             NaN  0.00000000E+00    0.500000
  1.100             NaN             NaN  0.00000000E+00    0.605000
  1.200             NaN             NaN  0.00000000E+00    0.720000
  1.300             NaN             NaN  0.00000000E+00    0.845000
  1.400             NaN             NaN  0.00000000E+00    0.980000
  1.500             NaN             NaN  0.00000000E+00    1.125000
  1.600             NaN             NaN  0.00000000E+00    1.280000
  1.700             NaN             NaN  0.00000000E+00    1.445000
  1.800             NaN             NaN  0.00000000E+00    1.620000
  1.900             NaN             NaN  0.00000000E+00    1.805000
  2.000             NaN             NaN  0.00000000E+00    2.000000
  2.100             NaN             NaN  0.00000000E+00    2.205000
  2.200             NaN             NaN  0.00000000E+00    2.420000
  2.300             NaN             NaN  0.00000000E+00    2.645000
  2.400             NaN             NaN  0.00000000E+00    2.880000
  2.500             NaN             NaN  0.00000000E+00    3.125000
  2.600             NaN             NaN  0.00000000E+00    3.380000
  2.700             NaN             NaN  0.00000000E+00    3.645000
  2.800             NaN             NaN  0.00000000E+00    3.920000
  2.900             NaN             NaN  0.00000000E+00    4.205000
  3.000             NaN             NaN  0.00000000E+00    4.500000
  3.100             NaN             NaN  0.00000000E+00    4.805000
  3.200             NaN             NaN  0.00000000E+00    5.120000
  3.300             NaN             NaN  0.00000000E+00    5.445000
  3.400             NaN             NaN  0.00000000E+00    5.780000
  3.500             NaN             NaN  0.00000000E+00    6.125000
  3.600             NaN             NaN  0.00000000E+00    6.480000
  3.700             NaN             NaN  0.00000000E+00    6.845000
  3.800             NaN             NaN  0.00000000E+00    7.220000
  3.900             NaN             NaN  0.00000000E+00    7.605000
  4.000             NaN             NaN  0.00000000E+00    8.000000
  4.100             NaN             NaN  0.00000000E+00    8.405000
  4.200             NaN             NaN  0.00000000E+00    8.820000
  4.300             NaN             NaN  0.00000000E+00    9.245000
  4.400             NaN             NaN  0.00000000E+00    9.680000
  4.500             NaN             NaN  0.00000000E+00   10.125000
  4.600             NaN             NaN  0.00000000E+00   10.580000
  4.700             NaN             NaN  0.00000000E+00   11.045000
  4.800             NaN             NaN  0.00000000E+00   11.520000
  4.900             NaN             NaN  0.00000000E+00   12.005000
  5.000             NaN             NaN  0.00000000E+00   12.500000
  5.100             NaN             NaN  0.00000000E+00   13.005000
  5.200             NaN             NaN  0.00000000E+00   13.520000
  5.300             NaN             NaN  0.00000000E+00   14.045000
  5.400             NaN             NaN  0.00000000E+00   14.580000
  5.500             NaN             NaN  0.00000000E+00   15.125000
  5.600             NaN             NaN  0.00000000E+00   15.680000
  5.700             NaN             NaN  0.00000000E+00   16.245000
  5.800             NaN             NaN  0.00000000E+00   16.820000
  5.900             NaN             NaN  0.00000000E+00   17.405000
  6.000             NaN             NaN  0.00000000E+00   18.000000
  6.100             NaN             NaN  0.00000000E+00   18.605000
  6.200             NaN             NaN  0.00000000E+00   19.220000
  6.300             NaN             NaN  0.00000000E+00   19.845000
  6.400             NaN             NaN  0.00000000E+00   20.480000
  6.500             NaN             NaN  0.00000000E+00   21.125000
  6.600             NaN             NaN  0.00000000E+00   21.780000
  6.700             NaN             NaN  0.00000000E+00   22.445000
  6.800             NaN             NaN  0.00000000E+00   23.120000
  6.900             NaN             NaN  0.00000000E+00   23.805000
  7.000             NaN             NaN  0.00000000E+00   24.500000
  7.100             NaN             NaN  0.00000000E+00   25.205000
  7.200             NaN             NaN  0.00000000E+00   25.920000
  7.300             NaN             NaN  0.00000000E+00   26.645000
  7.400             NaN             NaN  0.00000000E+00   27.380000
  7.500             NaN             NaN  0.00000000E+00   28.125000
  7.600             NaN             NaN  0.00000000E+00   28.880000
  7.700             NaN             NaN  0.00000000E+00   29.645000
  7.800             NaN             NaN  0.00000000E+00   30.420000
  7.900             NaN             NaN  0.00000000E+00   31.205000
  8.000             NaN             NaN  0.00000000E+00   32.000000
  8.100             NaN             NaN  0.00000000E+00   32.805000
  8.200             NaN             NaN  0.00000000E+00   33.620000
  8.300             NaN             NaN  0.00000000E+00   34.445000
  8.400             NaN             NaN  0.00000000E+00   35.280000
  8.500             NaN             NaN  0.00000000E+00   36.125000
  8.600             NaN             NaN  0.00000000E+00   36.980000
  8.700             NaN             NaN  0.00000000E+00   37.845000
  8.800             NaN             NaN  0.00000000E+00   38.720000
  8.900             NaN             NaN  0.00000000E+00   39.605000
  9.000             NaN             NaN  0.00000000E+00   40.500000
  9.100             NaN             NaN  0.00000000E+00   41.405000
  9.200             NaN             NaN  0.00000000E+00   42.320000
  9.300             NaN             NaN  0.00000000E+00   43.245000
  9.400             NaN             NaN  0.00000000E+00   44.180000
  9.500             NaN             NaN  0.00000000E+00   45.125000
  9.600             NaN             NaN  0.00000000E+00   46.080000
  9.700             NaN             NaN  0.00000000E+00   47.045000
  9.800             NaN             NaN  0.00000000E+00   48.020000
  9.900             NaN             NaN  0.00000000E+00   49.005000
 10.000             NaN             NaN  0.00000000E+00   50.000000


